gene_symbol,rank,p-value,covered_events,cover_genes,chr,description,mut,total_events,node_degree,no.of.cases,connected.drivers,case,ens_gene_id
MCM10,1,0,23,"BRCA1,MCM2,RAD54L,KIF4A,ORC6,WDR76,CLSPN,POLA1,TIMELESS,LMNB1,CDK2,RPA1,KIF2C,CDCA5,NCAPG2,MKI67,RECQL4,ATRIP,MCM7,EXO1,PRC1,KIFC1",10,minichromosome maintenance 10 replication initiation factor,1,262,24,1,1,cloneC,ENSG00000065328
NUP155,2,0,20,"HDAC4,CPSF1,TNPO1,SNRPD3,POLDIP3,RANGAP1,NEK9,AGO2,NUP210,RAN,MDM2,INCENP,MCM3AP,U2AF1L4,KPNA5,HSPA1B,NUP62,RBM8A,POM121C",5,nucleoporin 155,1,262,28,1,2,cloneC,ENSG00000113569
RBM17,3,0.001,15,"DHX8,SRRT,ACIN1,CACTIN,SMU1,SNRPN,DHX9,MFAP1,POLR2D,POLR2H,PLRG1,POLR2A,SF3A3,DDX42",10,RNA binding motif protein 17,1,262,24,1,3,cloneC,ENSG00000134453
PIP4K2A,4,0.001,13,"SCIN,VCL,MTMR1,MTMR3,PLCB4,PIP5K1B,MAP2K6,PIK3R3,PLCE1,PIK3R1,PLCD3,PI4KA",10,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,1,262,15,1,4,cloneC,ENSG00000150867
CEP72,5,0.002,12,"CLASP1,PPP2R1A,ALMS1,CEP89,NPHP4,PCNT,DCTN2,CKAP5,KIF24,DCTN1,HAUS7",5,centrosomal protein 72,1,262,18,1,5,cloneC,ENSG00000112877
VIM,6,0.005,11,"TNNC2,MYH3,TNNC1,TNNT2,TNNT3,TNNI2,GFAP,TNNI1,TCAP,MYH6,ACTN3",10,vimentin,1,262,15,1,6,cloneC,ENSG00000026025
IL2RA,7,0.015,8,"GAB2,STAT5A,IKZF3,SYK,INPP5D,IL17D,STAT5B,PTPN11",10,interleukin 2 receptor subunit alpha,1,262,15,1,7,cloneC,ENSG00000134460
BRD9,8,0.021,7,"SMARCA2,E2F1,KDM3B,PHF10,ZBTB7B,INO80E",5,bromodomain containing 9,1,262,9,1,8,cloneC,ENSG00000028310
EXOC3,9,0.021,7,"CDH1,MYH9,EXOC4,EXOC6B,ARF6,CTNND1",5,exocyst complex component 3,1,262,8,1,9,cloneC,ENSG00000180104
PARD3,10,0.034,6,"ARHGEF18,NECTIN1,NECTIN4,TIAM1,F11R",10,par-3 family cell polarity regulator,1,262,12,1,10,cloneC,ENSG00000148498
UPF2,11,0.034,6,"UPF1,SMG9,EIF4G1,SMG5,DCP1A",10,UPF2 regulator of nonsense mediated mRNA decay,1,262,36,1,11,cloneC,ENSG00000151461
TRIO,12,0.052,5,"NTN1,GNA11,ABLIM1,PTPRF",5,trio Rho guanine nucleotide exchange factor,1,262,7,1,12,cloneC,ENSG00000038382
SDHA,13,0.052,5,"MDH1,NDUFS2,NDUFV1,SDHD",5,succinate dehydrogenase complex flavoprotein subunit A,1,262,6,1,13,cloneC,ENSG00000073578
DCLRE1C,14,0.052,5,"MRE11,NSD2,MDC1,POLL",10,DNA cross-link repair 1C,1,262,6,1,14,cloneC,ENSG00000152457
CUL2,15,0.092,4,"PSME4,PSMC5,FEM1A",10,cullin 2,1,262,10,1,15,cloneC,ENSG00000108094
HMGCS1,16,0.092,4,"LDLR,RXRA,SREBF2",5,3-hydroxy-3-methylglutaryl-CoA synthase 1,1,262,4,1,16,cloneC,ENSG00000112972
TERT,17,0.092,4,"ESR1,MTOR,ANKRD28",5,telomerase reverse transcriptase,1,262,7,1,17,cloneC,ENSG00000164362
APBB1IP,18,0.157,3,"PACSIN2,TLN2,ITGB3",10,amyloid beta precursor protein binding family B member 1 interacting protein,1,262,7,1,18,cloneC,ENSG00000077420
GTPBP4,19,0.157,3,"NOP16,GNL3L",10,GTP binding protein 4,1,262,10,1,19,cloneC,ENSG00000107937
GHR,20,0.157,3,"PRLR,SOCS2",5,growth hormone receptor,1,262,9,1,20,cloneC,ENSG00000112964
DROSHA,21,0.157,3,"DDX17,DGCR8",5,drosha ribonuclease III,1,262,3,1,21,cloneC,ENSG00000113360
MED10,22,0.157,3,"MED1,MED22",5,mediator complex subunit 10,1,262,8,1,22,cloneC,ENSG00000133398
AKR1C2,23,0.157,3,"UGT2A1,AKR1C1",10,aldo-keto reductase family 1 member C2,1,262,4,1,23,cloneC,ENSG00000151632
ICE1,24,0.157,3,"INTS6,INTS11",5,interactor of little elongation complex ELL subunit 1,1,262,9,1,24,cloneC,ENSG00000164151
PTGER4,25,0.157,3,"GNB4,CREB3L4,CREB3L1",5,prostaglandin E receptor 4,1,262,7,1,25,cloneC,ENSG00000171522
NSUN2,26,0.278,2,WDR4,5,NOP2/Sun RNA methyltransferase 2,1,262,2,1,26,cloneC,ENSG00000037474
ARHGAP21,27,0.278,2,SRGAP1,10,Rho GTPase activating protein 21,1,262,4,1,27,cloneC,ENSG00000107863
LARP4B,28,0.278,2,LARP1,10,La ribonucleoprotein 4B,1,262,4,1,28,cloneC,ENSG00000107929
MYO10,29,0.278,2,ARPC4,5,myosin X,1,262,4,1,29,cloneC,ENSG00000145555
RAI14,30,0.521,1,"",5,retinoic acid induced 14,1,262,1,1,30,cloneC,ENSG00000039560
